uf;mes;casos;populacao;incremento;prec;tmax;tmin
51;2009 mar;416;3063640,500000000;64,90833333332557;272,07527160644531;30,6336660385132;20,5458860397339
51;2009 abr;301;3067927,750000000;64,90833333332557;133,29850769042969;31,4406499862671;19,8986568450928
51;2009 mai;305;3072215,000000000;64,90833333335468;47,67439460754395;31,4689178466797;18,1666078567505
51;2009 jun;355;3076502,250000000;64,90833333332557;15,00000000000000;30,8041000366211;14,8594212532043
51;2009 jul;263;3080789,500000000;64,90833333332557;6,79011178016663;32,3038921356201;15,2270698547363
51;2009 ago;242;3085076,750000000;64,90833333335468;25,05266571044922;33,4403514862061;16,6442699432373
51;2009 set;156;3089364,000000000;64,90833333332557;56,08921241760254;33,0060119628906;18,7788000106812
51;2009 out;151;3093651,250000000;64,90833333332557;165,35186767578125;32,7140007019043;19,7463006973267
51;2009 nov;264;3097938,500000000;64,90833333332557;205,91645812988281;32,1259193420410;20,8430147171021
51;2009 dez;157;3102225,750000000;64,90833333332557;304,22883605957031;30,8675632476807;19,9189033508301
51;2010 jan;219;3106513,000000000;64,90833333335468;335,00000000000000;30,5368289947510;20,4666328430176
51;2010 fev;207;3109789,416666667;88,99166666666861;300,99298095703125;31,3881912231445;21,2226457595825
51;2010 mar;205;3113065,833333333;88,99166666666861;287,22294616699219;31,3633708953857;21,2389364242554
51;2010 abr;148;3116342,250000000;88,99166666666861;110,39919281005859;31,6267042160034;20,0089101791382
51;2010 mai;223;3119618,666666667;88,99166666666861;39,99352455139160;30,6525745391846;17,0229711532593
51;2010 jun;220;3122895,083333333;88,99166666666861;7,32641625404358;31,5840883255005;15,8498725891113
51;2010 jul;252;3126171,500000000;88,99166666666861;3,97461366653442;31,8500499725342;14,8493256568909
51;2010 ago;200;3129447,916666667;88,99166666663950;8,66500759124756;33,0861492156982;16,1473741531372
51;2010 set;133;3132724,333333333;88,99166666666861;33,48009109497070;34,0630855560303;19,8529243469238
51;2010 out;137;3136000,750000000;88,99166666666861;166,72034454345703;32,9771289825439;20,0704412460327
51;2010 nov;257;3139277,166666667;88,99166666666861;205,06862640380859;31,2586526870728;19,8945436477661
51;2010 dez;164;3142553,583333333;88,99166666666861;260,88075256347656;31,4352426528931;20,4238290786743
51;2011 jan;273;3145830,000000000;88,99166666666861;339,00000000000000;30,1856403350830;20,1146879196167
51;2011 fev;105;3149106,500000000;66,19166666665114;305,00000000000000;30,3439331054688;20,3722915649414
51;2011 mar;95;3152383,000000000;66,19166666665114;296,47311401367188;30,3320035934448;20,1585264205933
51;2011 abr;107;3155659,500000000;66,19166666670935;146,72728729248047;31,9451951980591;20,3557167053223
51;2011 mai;192;3158936,000000000;66,19166666665114;24,62235927581787;31,1039390563965;17,7017078399658
51;2011 jun;174;3162212,500000000;66,19166666665114;12,78207111358643;32,1279735565186;16,1509857177734
51;2011 jul;137;3165489,000000000;66,19166666665114;3,09181821346283;32,9729442596436;15,9934782981873
51;2011 ago;122;3168765,500000000;66,19166666670935;19,02474975585938;33,5445404052734;16,7397823333740
51;2011 set;113;3172042,000000000;66,19166666665114;47,36997032165527;33,9423427581787;19,6303682327271
51;2011 out;114;3175318,500000000;66,19166666665114;157,97571563720703;32,4079971313477;19,4733095169067
51;2011 nov;104;3178595,000000000;66,19166666665114;205,09426879882812;31,8025016784668;20,4507436752319
51;2011 dez;94;3181871,500000000;66,19166666670935;260,41899108886719;31,0991029739380;20,1225433349609
51;2012 jan;115;3185148,000000000;66,19166666665114;329,28576660156250;29,9761028289795;19,7796888351440
51;2012 fev;78;3188554,833333333;92,05833333334886;299,84298706054688;30,2008600234985;20,2581720352173
51;2012 mar;48;3191961,666666667;92,05833333329065;244,01619720458984;30,3826465606689;20,2141876220703
51;2012 abr;70;3195368,500000000;92,05833333334886;134,91244506835938;31,8780746459961;20,3387212753296
51;2012 mai;58;3198775,333333333;92,05833333334886;50,04003906250000;31,1782293319702;17,8258037567139
51;2012 jun;88;3202182,166666667;92,05833333334886;14,17775535583496;31,8710708618164;16,0245485305786
