"uf","year_notif","ocup","count"
"Amazonas",2019,"Caça/Pesca",5405
"Amazonas",2019,"Consts. Estrada e Barragens",155
"Amazonas",2019,"Mineração",13
"Amazonas",2019,"Viajante",1429
"Amazonas",2019,"Outros",38016
"Roraima",2007,"Agricultura",12390
"Roraima",2007,"Pecuária",151
"Roraima",2007,"Doméstica",761
"Roraima",2007,"Turismo",33
"Roraima",2007,"Garimpagem",21
"Roraima",2007,"Exploração Vegetal",40
"Roraima",2007,"Caça/Pesca",314
"Roraima",2007,"Consts. Estrada e Barragens",36
"Roraima",2007,"Mineração",10
"Roraima",2007,"Viajante",82
"Roraima",2007,"Outros",2320
"Roraima",2007,"Ignorado",679
"Roraima",2008,"Agricultura",1558
"Roraima",2008,"Pecuária",65
"Roraima",2008,"Doméstica",486
"Roraima",2008,"Turismo",16
"Roraima",2008,"Garimpagem",17
"Roraima",2008,"Exploração Vegetal",14
"Roraima",2008,"Caça/Pesca",178
"Roraima",2008,"Consts. Estrada e Barragens",17
"Roraima",2008,"Mineração",6
"Roraima",2008,"Viajante",183
"Roraima",2008,"Outros",7944
"Roraima",2008,"Ignorado",429
"Roraima",2009,"Agricultura",2660
"Roraima",2009,"Pecuária",69
"Roraima",2009,"Doméstica",671
"Roraima",2009,"Turismo",32
"Roraima",2009,"Garimpagem",31
"Roraima",2009,"Exploração Vegetal",18
"Roraima",2009,"Caça/Pesca",407
"Roraima",2009,"Consts. Estrada e Barragens",20
"Roraima",2009,"Mineração",3
"Roraima",2009,"Viajante",177
"Roraima",2009,"Outros",10930
"Roraima",2009,"Ignorado",329
"Roraima",2010,"Agricultura",4217
"Roraima",2010,"Pecuária",103
"Roraima",2010,"Doméstica",686
"Roraima",2010,"Turismo",72
"Roraima",2010,"Garimpagem",56
"Roraima",2010,"Exploração Vegetal",23
"Roraima",2010,"Caça/Pesca",779
"Roraima",2010,"Consts. Estrada e Barragens",43
"Roraima",2010,"Mineração",5
"Roraima",2010,"Viajante",527
"Roraima",2010,"Outros",14552
"Roraima",2010,"Ignorado",1061
"Roraima",2011,"Agricultura",1750
"Roraima",2011,"Pecuária",68
"Roraima",2011,"Doméstica",572
"Roraima",2011,"Turismo",58
"Roraima",2011,"Garimpagem",57
"Roraima",2011,"Exploração Vegetal",43
"Roraima",2011,"Caça/Pesca",1083
"Roraima",2011,"Consts. Estrada e Barragens",33
"Roraima",2011,"Mineração",9
"Roraima",2011,"Viajante",265
"Roraima",2011,"Outros",8878
"Roraima",2011,"Ignorado",456
"Roraima",2012,"Agricultura",1469
"Roraima",2012,"Pecuária",61
"Roraima",2012,"Doméstica",394
"Roraima",2012,"Turismo",49
"Roraima",2012,"Garimpagem",46
"Roraima",2012,"Exploração Vegetal",38
"Roraima",2012,"Caça/Pesca",472
"Roraima",2012,"Consts. Estrada e Barragens",38
"Roraima",2012,"Mineração",6
"Roraima",2012,"Viajante",209
"Roraima",2012,"Outros",3858
"Roraima",2012,"Ignorado",389
"Roraima",2013,"Agricultura",1603
"Roraima",2013,"Pecuária",52
"Roraima",2013,"Doméstica",280
"Roraima",2013,"Turismo",63
"Roraima",2013,"Garimpagem",98
"Roraima",2013,"Exploração Vegetal",33
"Roraima",2013,"Caça/Pesca",306
"Roraima",2013,"Consts. Estrada e Barragens",29
"Roraima",2013,"Mineração",8
"Roraima",2013,"Viajante",160
"Roraima",2013,"Outros",2905
"Roraima",2013,"Ignorado",306
"Roraima",2014,"Agricultura",2121
"Roraima",2014,"Pecuária",69
"Roraima",2014,"Doméstica",289
"Roraima",2014,"Turismo",43
"Roraima",2014,"Garimpagem",57
"Roraima",2014,"Exploração Vegetal",21
"Roraima",2014,"Caça/Pesca",458
"Roraima",2014,"Consts. Estrada e Barragens",44
"Roraima",2014,"Mineração",6
"Roraima",2014,"Viajante",244
"Roraima",2014,"Outros",3433
"Roraima",2014,"Ignorado",1
"Roraima",2015,"Agricultura",1763
"Roraima",2015,"Pecuária",47
"Roraima",2015,"Doméstica",320
"Roraima",2015,"Turismo",33
"Roraima",2015,"Garimpagem",59
"Roraima",2015,"Exploração Vegetal",24
"Roraima",2015,"Caça/Pesca",801
"Roraima",2015,"Consts. Estrada e Barragens",10
"Roraima",2015,"Mineração",1
"Roraima",2015,"Viajante",127
"Roraima",2015,"Outros",4696
"Roraima",2016,"Agricultura",1402
"Roraima",2016,"Pecuária",43
"Roraima",2016,"Doméstica",322
"Roraima",2016,"Turismo",28
"Roraima",2016,"Garimpagem",75
"Roraima",2016,"Exploração Vegetal",29
"Roraima",2016,"Caça/Pesca",567
"Roraima",2016,"Consts. Estrada e Barragens",20
"Roraima",2016,"Mineração",2
"Roraima",2016,"Viajante",118
"Roraima",2016,"Outros",4047
"Roraima",2017,"Agricultura",4941
"Roraima",2017,"Pecuária",105
"Roraima",2017,"Doméstica",729
"Roraima",2017,"Turismo",71
"Roraima",2017,"Garimpagem",121
"Roraima",2017,"Exploração Vegetal",61
"Roraima",2017,"Caça/Pesca",486
"Roraima",2017,"Consts. Estrada e Barragens",37
"Roraima",2017,"Mineração",3
"Roraima",2017,"Viajante",430
"Roraima",2017,"Outros",7219
"Roraima",2018,"Agricultura",6709
"Roraima",2018,"Pecuária",184
"Roraima",2018,"Doméstica",1582
"Roraima",2018,"Turismo",115
"Roraima",2018,"Garimpagem",543
"Roraima",2018,"Exploração Vegetal",103
"Roraima",2018,"Caça/Pesca",1108
"Roraima",2018,"Consts. Estrada e Barragens",50
"Roraima",2018,"Mineração",5
"Roraima",2018,"Viajante",506
"Roraima",2018,"Outros",12457
"Roraima",2019,"Agricultura",6171
"Roraima",2019,"Pecuária",113
"Roraima",2019,"Doméstica",1819
"Roraima",2019,"Turismo",143
"Roraima",2019,"Garimpagem",3061
"Roraima",2019,"Exploração Vegetal",100
"Roraima",2019,"Caça/Pesca",3722
"Roraima",2019,"Consts. Estrada e Barragens",34
"Roraima",2019,"Mineração",59
"Roraima",2019,"Viajante",415
"Roraima",2019,"Outros",10521
"Pará",2007,"Agricultura",26629
"Pará",2007,"Pecuária",738
"Pará",2007,"Doméstica",11492
"Pará",2007,"Turismo",373
"Pará",2007,"Garimpagem",8043
"Pará",2007,"Exploração Vegetal",4191
"Pará",2007,"Caça/Pesca",3234
"Pará",2007,"Consts. Estrada e Barragens",135
"Pará",2007,"Mineração",196
"Pará",2007,"Viajante",793
"Pará",2007,"Outros",19574
"Pará",2007,"Ignorado",17414
"Pará",2008,"Agricultura",21761
"Pará",2008,"Pecuária",615
"Pará",2008,"Doméstica",10084
"Pará",2008,"Turismo",257
"Pará",2008,"Garimpagem",6518
"Pará",2008,"Exploração Vegetal",4239
"Pará",2008,"Caça/Pesca",2579
"Pará",2008,"Consts. Estrada e Barragens",87
"Pará",2008,"Mineração",163
"Pará",2008,"Viajante",928
"Pará",2008,"Outros",18348
"Pará",2008,"Ignorado",18098
"Pará",2009,"Agricultura",24600
"Pará",2009,"Pecuária",817
"Pará",2009,"Doméstica",14600
"Pará",2009,"Turismo",411
"Pará",2009,"Garimpagem",9930
"Pará",2009,"Exploração Vegetal",7221
"Pará",2009,"Caça/Pesca",2934
"Pará",2009,"Consts. Estrada e Barragens",99
"Pará",2009,"Mineração",221
"Pará",2009,"Viajante",1198
"Pará",2009,"Outros",28557
"Pará",2009,"Ignorado",35941
"Pará",2010,"Agricultura",30676
"Pará",2010,"Pecuária",1014
"Pará",2010,"Doméstica",19322
"Pará",2010,"Turismo",583
"Pará",2010,"Garimpagem",12643
"Pará",2010,"Exploração Vegetal",5915
"Pará",2010,"Caça/Pesca",4469
"Pará",2010,"Consts. Estrada e Barragens",160
"Pará",2010,"Mineração",656
"Pará",2010,"Viajante",1428
"Pará",2010,"Outros",37188
"Pará",2010,"Ignorado",69771
"Pará",2011,"Agricultura",26685
"Pará",2011,"Pecuária",813
"Pará",2011,"Doméstica",15026
"Pará",2011,"Turismo",561
"Pará",2011,"Garimpagem",9837
"Pará",2011,"Exploração Vegetal",4490
"Pará",2011,"Caça/Pesca",5349
"Pará",2011,"Consts. Estrada e Barragens",279
"Pará",2011,"Mineração",316
"Pará",2011,"Viajante",1364
"Pará",2011,"Outros",63217
"Pará",2011,"Ignorado",15045
"Pará",2012,"Agricultura",11775
"Pará",2012,"Pecuária",445
