MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
SALINÓPOLIS;[50,55);1378,62585440225;235,653100975298;253,202275549272;488,85537652457;-17,5491745739748;-0,0358984996723111;0,0183662793455341;0,0170933324819643;0,0354596118274984
SALINÓPOLIS;[55,60);1198,37414559776;233,355519857418;123,984232491541;357,33975234896;109,371287365877;0,306070865743117;0,0103460369991291;0,0194726764353731;0,0298187134345022
SALINÓPOLIS;[60,139);2784,02020701361;248,018766271007;242,452402557041;490,471168828048;5,56636371396601;0,0113490130872861;0,00870871561730211;0,00890865539144394;0,017617371008746
SALTO DO CÉU;[0,5);262,388129469899;27,2921914695972;29,0976318289131;56,3898232985103;-1,8054403593159;-0,0320171309946913;0,0110895381920283;0,0104014581470341;0,0214909963390624
SALTO DO CÉU;[5,10);315,000000000001;116,546788727316;98,7850903471963;215,331879074512;17,7616983801199;0,0824852244658752;0,0313603461419669;0,0369989805483542;0,0683593266903211
SALTO DO CÉU;[10,15);381;107,72144512938;117,046594467318;224,768039596697;-9,32514933793773;-0,0414878794808635;0,0307208909363038;0,0282733451783149;0,0589942361146188
SALTO DO CÉU;[15,20);390;92,0704361276807;150,044557085666;242,114993213347;-57,9741209579856;-0,23944870240605;0,038472963355299;0,0236078041353027;0,0620807674906018
SALTO DO CÉU;[20,25);295;86,9766763339247;230,892122975509;317,868799309434;-143,915446641585;-0,452751094018158;0,0782685162628845;0,0294836190962457;0,10775213535913
SALTO DO CÉU;[25,30);330;110,000065277877;134,907308312261;244,907373590138;-24,9072430343845;-0,101700666130485;0,040881002518867;0,0333333531145081;0,0742143556333751
SALTO DO CÉU;[30,35);306,000000000001;108,6389614029;151,073857224609;259,712818627509;-42,4348958217094;-0,163391610956914;0,0493705415766695;0,035502928563039;0,0848734701397085
