MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
GOVERNADOR ARCHER;Masc;5065,99999999993;356,452068747851;1330,08697622955;1686,53904497741;-973,634907481703;-0,57729757895688;0,0262551712639079;0,00703616401002479;0,0332913352739327
GOVERNADOR EDISON LOBÃO;Fem;7743,00000000001;2784,23681606049;413,691440479053;3197,92825653954;2370,54537558143;0,74127534622887;0,0053427798072976;0,0359581146333525;0,0413008944406501
GOVERNADOR EDISON LOBÃO;Masc;8152,00000000001;3145,70069884038;460,134949012666;3605,83564785304;2685,56574982771;0,74478318262418;0,00564444245599442;0,0385880851182578;0,0442325275742522
GOVERNADOR EUGÊNIO BARROS;Fem;7930,99999999997;;;;;;;;
GOVERNADOR EUGÊNIO BARROS;Masc;8059,99999999997;;;;;;;;
GOVERNADOR JORGE TEIXEIRA;Fem;5042;1187,5383047147;795,805084222569;1983,34338893727;391,73322049213;0,1975115467534;0,0157835201154813;0,0235529215532467;0,039336441668728
GOVERNADOR JORGE TEIXEIRA;Masc;5470;1048,67380140715;1010,85035361898;2059,52415502613;37,8234477881654;0,0183651391977412;0,0184798967754842;0,0191713674845914;0,0376512642600756
GOVERNADOR LUIZ ROCHA;Fem;3587,00000000001;473,677521325806;715,044014404652;1188,72153573046;-241,366493078846;-0,203047127374982;0,0199343187734779;0,0132053950745973;0,0331397138480752
GOVERNADOR LUIZ ROCHA;Masc;3750,00000000002;436,784452796623;675,028687968602;1111,81314076522;-238,244235171979;-0,214284421038596;0,018000765012496;0,0116475854079099;0,0296483504204058
GOVERNADOR NEWTON BELLO;Fem;5906,00000000002;621,977510710078;763,914681873886;1385,89219258396;-141,937171163808;-0,102415737618933;0,012934552690042;0,0105312819287178;0,0234658346187599
GOVERNADOR NEWTON BELLO;Masc;6015,00000000002;533,683648745244;628,232110117994;1161,91575886324;-94,5484613727508;-0,0813729056100009;0,0104444241083623;0,00887254611380286;0,0193169702221652
GOVERNADOR NUNES FREIRE;Fem;12538;2419,7867030605;2574,11694259089;4993,90364565139;-154,330239530389;-0,0309037279212981;0,0205305227515623;0,0192996227712593;0,0398301455228217
GOVERNADOR NUNES FREIRE;Masc;12863;2569,60213483599;2004,61633667402;4574,21847151001;564,98579816197;0,123515263138593;0,0155843608541865;0,0199766938881753;0,0355610547423618
GRAJAÚ;Fem;30397,0000000024;4367,73846720633;5004,76530410813;9372,50377131447;-637,026836901801;-0,0679676266283817;0,0164646685663313;0,014368978738711;0,0308336473050424
GRAJAÚ;Masc;31696,0000000025;4950,08537709898;5045,20628886651;9995,29166596549;-95,1209117675316;-0,00951657189668847;0,0159174857674978;0,015617381931785;0,0315348676992829
GRAÇA ARANHA;Fem;3109;288,5635278753;632,724506424862;921,288034300162;-344,160978549562;-0,373565015213724;0,0203513832880303;0,00928155445079767;0,029632937738828
GRAÇA ARANHA;Masc;3031;259,70994729984;574,412778540312;834,122725840152;-314,702831240472;-0,377286005393864;0,018951262901363;0,00856845751566611;0,0275197204170291
GUAJARÁ;Fem;6709,00000000002;526,9850732796;1079,35107332679;1606,33614660639;-552,36600004719;-0,34386700518079;0,0160881066228467;0,00785489750006854;0,0239430041229153
GUAJARÁ;Masc;7265,00000000001;641,535386587303;919,767104347855;1561,30249093516;-278,231717760552;-0,178204876618048;0,0126602491995575;0,00883049396541366;0,0214907431649712
GUAJARÁ-MIRIM;Fem;20709;2244,15025375624;4137,53019829708;6381,68045205332;-1893,37994454084;-0,296689870131564;0,0199793819030232;0,0108365940110881;0,0308159759141113
GUAJARÁ-MIRIM;Masc;20947;2310,53103684177;3762,69204599095;6073,22308283272;-1452,16100914918;-0,239108787762799;0,0179629161502409;0,0110303672928905;0,0289932834431314
GUARANTÃ DO NORTE;Fem;15704,9999999999;3403,50229555096;4446,69130127667;7850,19359682763;-1043,18900572571;-0,132887041938338;0,0283138573783935;0,0216714568325436;0,0499853142109371
GUARANTÃ DO NORTE;Masc;16510,9999999999;3459,34826718897;4793,05539204835;8252,40365923732;-1333,70712485938;-0,16161438290364;0,0290294675794826;0,0209517792210586;0,0499812468005412
