MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
BARCELOS;1853,61363961174;1435,84600838729;25718;3289,45964799904;417,767631224454;0,127001901810402;0,00558303914918457;0,00720745641034195;0,0127904955595265
BARRA DO BUGRES;8586,08807479041;7687,37958227119;31793,0000000003;16273,4676570616;898,708492519219;0,0552253835173992;0,0241794721551006;0,0270062217305392;0,0511856938856398
BARRA DO CORDA;10609,1442780871;20089,3621490347;82829,9999999999;30698,5064271218;-9480,21787094752;-0,308816909169622;0,024253727090468;0,0128083354800038;0,0370620625704719
BARRA DO GARÇAS;10531,0386360207;15835,1040813122;56560,0000000004;26366,1427173329;-5304,0654452915;-0,201169564397626;0,0279970015581897;0,0186192337977734;0,0466162353559631
BARRA DO OURO;648,814295140725;366,122687275706;4123,00000000001;1014,93698241643;282,691607865019;0,278531192342571;0,00888000696763776;0,015736461196719;0,0246164681643567
BARREIRINHA;2383,96739437982;3750,56891535337;27354,9999999999;6134,53630973319;-1366,60152097356;-0,222771771487484;0,0137107253348689;0,00871492375938522;0,0224256490942541
BARREIRINHAS;4598,58847073607;5809,10152576003;54929,9999999992;10407,6899964961;-1210,51305502396;-0,116309484182513;0,0105754624535957;0,00837172486935397;0,0189471873229497
BARROLÂNDIA;1246,5619904168;1636,01379337256;5348,99999999992;2882,57578378936;-389,451802955766;-0,135105486261944;0,0305854139721927;0,0233045801162239;0,0538899940884165
BARÃO DE GRAJAÚ;1806,63992708999;2283,21913226108;17841;4089,85905935106;-476,57920517109;-0,116527048549861;0,0127975961675975;0,0101263378010761;0,0229239339686737
BARÃO DE MELGAÇO;230,778264312762;978,30684202505;7591,00000000003;1209,08510633781;-747,528577712288;-0,618259685603499;0,0128877202216447;0,00304015629446398;0,0159278765161086
BELA VISTA DO MARANHÃO;2121,48613393778;1655,32093024594;12048,9999999999;3776,80706418372;466,165203691846;0,123428386933659;0,013738243258743;0,0176071552322831;0,0313453984910261
BELTERRA;3037,52346906374;1635,46466871293;16318;4672,98813777667;1402,05880035081;0,300034744153638;0,0100224578300829;0,018614557354233;0,0286370151843159
BELÁGUA;519,540092199355;348,837809477627;6524,00000000001;868,377901676982;170,702282721728;0,196576032614457;0,00534699278782383;0,00796352072653824;0,0133105135143621
BELÉM;126864,981712347;241094,207963229;1393399,00000002;367959,189675576;-114229,226250881;-0,310439933166489;0,0173025965974731;0,00910471313043467;0,0264073097279078
BENEDITO LEITE;581,342679264172;1259,00899686537;5468,99999999998;1840,35167612955;-677,666317601202;-0,368226533216959;0,0230208264191878;0,0106297802023071;0,0336506066214948
BENEVIDES;16778,0073407181;5149,97118589592;51650,9999999999;21927,978526614;11628,0361548221;0,530283087458755;0,00997070954269216;0,0324834124038607;0,0424541219465529
BENJAMIN CONSTANT;2557,95230924586;4130,62204562948;33411,0000000001;6688,57435487533;-1572,66973638362;-0,235127794495892;0,012363060206607;0,00765601840485424;0,0200190786114612
BEQUIMÃO;1184,56998776515;3735,30365403779;20343,9999999988;4919,87364180294;-2550,73366627264;-0,518455117342789;0,0183607139895694;0,00582269950730053;0,02418341349687
BERNARDO DO MEARIM;782,342348854474;578,93304840539;5996,00000000002;1361,27539725986;203,409300449085;0,149425532011033;0,00965532102077031;0,0130477376393341;0,0227030586601044
BERNARDO SAYÃO;979,474923667006;784,030853247026;4456,00000000001;1763,50577691403;195,44407041998;0,110827008892474;0,0175949473349871;0,0219810350912703;0,0395759824262574
BERURI;1286,90401954842;1878,29666232698;15486;3165,2006818754;-591,392642778564;-0,186842068550345;0,0121289982069416;0,00831011248578341;0,0204391106927251
BOA VISTA;50715,0097739465;32053,9091121654;284313,000000003;82768,9188861118;18661,100661781;0,225460244170379;0,0112741623183481;0,0178377386098933;0,0291119009282414
BOA VISTA DO GURUPI;1745,45584848562;1287,5935870116;7949,00000000003;3033,04943549722;457,862261474018;0,15095773122437;0,0161981832559014;0,0219581815132169;0,0381563647691183
BOA VISTA DO RAMOS;1794,43643187718;1745,46837303985;14979;3539,90480491703;48,9680588373369;0,0138331569734076;0,0116527696978426;0,011979681099387;0,0236324507972297
BOCA DO ACRE;2407,77531816376;4427,82575568508;30632;6835,60107384884;-2020,05043752132;-0,295519064921662;0,0144549025714451;0,00786032684174642;0,0223152294131916
BOM JARDIM;6188,59257132835;7866,81231818117;39048,9999999999;14055,4048895095;-1678,21974685282;-0,119400313263504;0,0201460019928326;0,0158482741461456;0,0359942761389781
BOM JESUS DAS SELVAS;4437,30294553582;3031,85223797388;28458,9999999998;7469,15518350971;1405,45070756194;0,188167292422156;0,0106534039775604;0,0155919144929051;0,0262453184704654
BOM JESUS DO ARAGUAIA;2772,07473215817;663,846383050505;5313,99999999997;3435,92111520868;2108,22834910767;0,613584619209055;0,0124924046490498;0,0521655011697062;0,064657905818756
