UF;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
MARANHÃO;[0,5);636526,671163587;22920,7864052273;29210,1718947503;52130,9582999776;-6289,385489523;-0,120645882880801;0,00458899418014227;0,00360091531802234;0,00818990949816461
MARANHÃO;[5,10);673525,908236855;34654,2373385757;50282,6351879554;84936,8725265311;-15628,3978493797;-0,184000156639838;0,00746558292309563;0,00514519737322251;0,0126107802963181
MARANHÃO;[10,15);725332,449201183;27499,4440064548;52553,4076290873;80052,8516355421;-25053,9636226325;-0,312967784541843;0,00724542348642543;0,00379128826191911;0,0110367117483445
MARANHÃO;[15,20);682351,144885252;25283,2131657357;66316,0891627334;91599,3023284691;-41032,8759969977;-0,447960573431624;0,00971876278948509;0,00370530823539359;0,0134240710248787
MARANHÃO;[20,25);656128,379723609;28297,4745153741;108028,970168244;136326,444683619;-79731,4956528703;-0,584857148133719;0,0164646086812692;0,00431279539033113;0,0207774040716003
MARANHÃO;[25,30);595036,644311243;31173,4730447598;102647,617951987;133821,090996746;-71474,1449072268;-0,534102243337447;0,0172506380797441;0,00523891651762778;0,0224895545973719
MARANHÃO;[30,35);500438,176666558;27006,4966978725;68828,6226956821;95835,1193935546;-41822,1259978096;-0,436396659830554;0,013753671463307;0,0053965700374348;0,0191502415007418
MARANHÃO;[35,40);403404,161676301;19857,7899120987;42711,8093576206;62569,5992697193;-22854,0194455219;-0,365257564572291;0,0105878454947357;0,00492255454916031;0,015510400043896
MARANHÃO;[40,45);356029,377627591;16161,9225372317;30639,8100776105;46801,7326148421;-14477,8875403788;-0,309345118898173;0,00860597804646894;0,00453949127595227;0,0131454693224212
MARANHÃO;[45,50);305309,842355865;11293,4009209328;21176,0287606115;32469,4296815443;-9882,6278396787;-0,304367152013637;0,00693591421659085;0,00369899667622552;0,0106349108928164
MARANHÃO;[50,55);256317,203351589;7744,42128417338;14626,1009879315;22370,5222721049;-6881,67970375814;-0,307622666116263;0,00570625022303671;0,00302142079536908;0,00872767101840579
MARANHÃO;[55,60);216731,993950531;5170,13049903437;10557,3657261255;15727,4962251598;-5387,23522709108;-0,342536100467977;0,00487116162855732;0,00238549482464248;0,0072566564531998
MARANHÃO;[60,139);567657,046849814;12014,6730186657;20379,4109083869;32394,0839270526;-8364,73788972123;-0,258218071810815;0,00359009212014217;0,00211653727991937;0,00570662940006154
MATO GROSSO;[0,5);243261,31261693;17330,2126626784;14031,623380661;31361,8360433394;3298,58928201736;0,105178449292924;0,00576812779217261;0,00712411376730863;0,0128922415594812
MATO GROSSO;[5,10);254200,50381126;32948,9864914269;27169,9036813533;60118,8901727802;5779,08281007362;0,0961275697782291;0,010688375228999;0,0129618100662346;0,0236501852952335
MATO GROSSO;[10,15);281507,143480221;32950,4575119186;25489,6294524988;58440,0869644173;7460,8280594198;0,127666272364764;0,00905470075727924;0,0117050164711837;0,0207597172284629
MATO GROSSO;[15,20);284315,738734465;33831,2657230115;26917,7278776251;60748,9936006365;6913,5378453864;0,113804977426226;0,00946754759249004;0,0118991885126022;0,0213667361050922
MATO GROSSO;[20,25);285990,634532939;44780,7869199585;30496,7913305083;75277,5782504668;14283,9955894501;0,189750997859201;0,0106635629450991;0,0156581305514047;0,0263216934965039
MATO GROSSO;[25,30);284125,774478336;52317,2928729436;32306,316232417;84623,6091053606;20010,9766405266;0,236470375727085;0,0113704278648188;0,0184134272819845;0,0297838551468033
MATO GROSSO;[30,35);265795,791278204;45778,3828296105;28839,6841021957;74618,0669318061;16938,6987274148;0,227005327582329;0,0108503163137033;0,0172231405958174;0,0280734569095207
MATO GROSSO;[35,40);235427,626599358;35395,1596155504;23601,6982199676;58996,857835518;11793,4613955828;0,199899822266175;0,0100250334087308;0,0150344121150168;0,0250594455237476
MATO GROSSO;[40,45);213397,369884744;29439,0695035708;19762,0689507966;49201,1384543674;9677,00055277421;0,196682452007677;0,00926069002699991;0,0137954228393119;0,0230561128663118
MATO GROSSO;[45,50);184610,26507648;22438,8523824971;14598,5286327351;37037,3810152322;7840,32374976209;0,211686775221435;0,00790775563140391;0,0121547154342697;0,0200624710656736
MATO GROSSO;[50,55);149126,223233304;15829,1693968559;10026,7617857774;25855,9311826334;5802,40761107853;0,224413020366322;0,00672367446072232;0,0106146116046214;0,0173382860653437
MATO GROSSO;[55,60);112947,215582922;11233,808350991;6011,10368153088;17244,9120325219;5222,70466946015;0,302854816516937;0,00532204680788944;0,00994606931477969;0,0152681161226691
MATO GROSSO;[60,139);240416,400690803;18972,9417714042;11736,4323012742;30709,3740726785;7236,50947013001;0,235644967982861;0,00488171034403278;0,00789170028204737;0,0127734106260802
OUTRAS UFS;[0,5);11372252,5616788;482496,081980146;482559,409885759;965055,491865904;-63,3279056128813;-0,0000656209991514983;0,00424330542492387;0,00424274856158242;0,00848605398650629
