Source;Target;Weight;Weight_v
5106653;5103403;17,945337;17,94533703
5106653;5103908;23,731566;23,73156599
5106653;5104807;6,706287;6,70628713
5106653;5105606;3,677961;3,67796051
5106653;5106281;10,326774;10,32677389
5106703;5100300;64,99409;64,99408968
5106703;5101209;26,048333;26,04833318
5106703;5101803;11,848643;11,84864279
5106703;5102850;19,369239;19,36923932
5106703;5103403;107,840379;107,84037935
5106703;5103452;6,035369;6,03536856
5106703;5105176;7,531453;7,5314529
5106703;5105606;11,861036;11,86103607
5106703;5106281;4,109793;4,10979294
5106703;5106372;5,401549;5,40154926
5106752;1100015;19,950871;19,9508712
5106752;1100023;108,68481;108,68480987
5106752;1100049;81,465673;81,46567301
5106752;1100056;47,062471;47,06247117
5106752;1100064;10,163882;10,16388223
5106752;1100072;122,040352;122,04035223
5106752;1100098;75,475612;75,47561215
5106752;1100106;46,411379;46,41137912
5106752;1100114;33,069;33,06899985
5106752;1100122;114,559491;114,55949108
5106752;1100130;34,998111;34,99811064
5106752;1100155;14,698768;14,69876759
5106752;1100189;21,779879;21,77987938
5106752;1100205;62,701667;62,70166709
5106752;1100288;187,382916;187,38291631
5106752;1100296;9,724447;9,72444664
5106752;1100304;218,835004;218,83500417
5106752;1100346;22,763429;22,76342863
5106752;1100452;129,09784;129,09783962
5106752;1100924;48,30439;48,30438956
5106752;1101104;10,638165;10,63816524
5106752;1101203;10,690923;10,6909234
5106752;1101302;21,970044;21,97004402
5106752;1101401;3,855343;3,85534312
5106752;1101492;18,181094;18,18109369
5106752;1101500;5,396631;5,3966314
5106752;1101609;23,56999;23,56999044
5106752;1200500;20,249897;20,2498968
5106752;1300144;11,273819;11,27381928
5106752;1301704;33,836261;33,83626096
5106752;1302603;12,384524;12,38452389
5106752;1400456;5,281881;5,28188132
5106752;1400605;20,334549;20,33454876
5106752;1502707;26,246864;26,24686371
5106752;1502772;20,996082;20,99608202
5106752;1504208;9,432427;9,4324267
5106752;1505106;11,283783;11,283783
5106752;1506138;8,174774;8,17477433
5106752;1508407;9,115185;9,11518476
5106752;1600535;12,9922;12,99220045
5106752;1714302;8,779518;8,77951756
5106752;1717503;7,133446;7,13344635
5106752;1721000;7,920968;7,92096846
5106752;2108504;22,961201;22,96120056
5106752;2111300;7,653734;7,65373352
5106752;5100201;18,292053;18,29205322
5106752;5100250;52,26026;52,26026013
5106752;5100805;4,899378;4,89937795
5106752;5101258;358,344052;358,34405234
5106752;5101308;10,752721;10,75272075
5106752;5101407;38,861348;38,86134801
5106752;5101704;48,038792;48,03879253
5106752;5101803;41,567075;41,5670752
5106752;5101902;10,269391;10,26939088
5106752;5102504;515,366885;515,36688507
5106752;5102637;96,226609;96,22660887
5106752;5102678;30,867447;30,86744736
5106752;5102686;33,162519;33,16251909
5106752;5102850;1,936171;1,93617077
5106752;5103056;4,704798;4,70479833
5106752;5103304;439,954651;439,95465122
5106752;5103353;45,421455;45,42145454
5106752;5103379;27,302425;27,30242462
5106752;5103403;660,073893;660,0738934
5106752;5103452;12,617169;12,61716868
5106752;5103502;15,489761;15,48976059
5106752;5103700;4,747037;4,74703682
5106752;5103809;61,346973;61,34697335
5106752;5103957;104,89319;104,89318983
5106752;5104104;90,725343;90,72534343
5106752;5104500;34,80777;34,80776999
5106752;5104559;47,148863;47,14886342
5106752;5104609;42,75333;42,75332985
5106752;5104807;11,421231;11,4212307
5106752;5105002;830,164788;830,16478792
5106752;5105150;102,623071;102,62307101
5106752;5105200;16,66707;16,66707014
5106752;5105234;14,966514;14,96651379
5106752;5105259;29,067369;29,06736895
5106752;5105507;1444,854477;1444,85447702
5106752;5105580;9,910114;9,91011372
5106752;5105606;53,039273;53,03927285
5106752;5105622;252,00318;252,00317987
5106752;5105903;18,377956;18,37795608
5106752;5106158;21,051602;21,05160179
5106752;5106182;726,566287;726,56628691
5106752;5106216;11,671049;11,67104876
5106752;5106224;20,880113;20,88011315
5106752;5106232;17,814583;17,81458323
5106752;5106240;19,602536;19,6025362
5106752;5106265;78,465581;78,46558108
5106752;5106299;75,53759;75,53758979
5106752;5106422;145,814659;145,81465844
5106778;1502707;38,229166;38,22916556
5106778;1503044;3,795309;3,79530927
5106778;1505064;22,471145;22,4711447
5106778;1506708;25,196013;25,1960133
5106778;1508001;9,13256;9,13255965
5106778;1700350;11,286127;11,28612748
5106778;1702000;3,880257;3,88025662
5106778;1706100;13,005433;13,00543278
5106778;1708205;29,490924;29,49092427
5106778;1709500;30,868618;30,86861819
5106778;1712504;4,410005;4,41000479
5106778;1721000;4,970526;4,97052569
5106778;2102804;1,866698;1,86669786
5106778;2111300;10,285368;10,28536772
5106778;5100201;48,377131;48,37713119
5106778;5100359;18,047427;18,047427
5106778;5101001;3,534247;3,53424712
5106778;5101803;273,022726;273,02272603
5106778;5102603;17,053459;17,05345948
5106778;5102678;31,224055;31,22405468
5106778;5102694;293,686291;293,68629111
5106778;5102702;123,970999;123,97099908
5106778;5102793;6,666676;6,66667598
5106778;5102850;7,170377;7,17037738
5106778;5103106;17,610363;17,6103634
5106778;5103353;388,090964;388,09096409
5106778;5103403;55,753384;55,75338445
5106778;5103601;12,444169;12,44416894
5106778;5105309;39,157049;39,1570495
5106778;5105580;21,517881;21,51788133
5106778;5105606;11,187433;11,18743287
5106778;5106257;25,018585;25,01858544
5106778;5106307;26,389236;26,38923565
5106802;1100296;6,277335;6,27733536
5106802;1400100;9,253205;9,2532049
5106802;5100250;22,407397;22,40739743
5106802;5101704;18,4972;18,4971999
5106802;5101803;14,096139;14,09613869
5106802;5102678;18,121222;18,1212216
5106802;5102793;18,511061;18,51106061
5106802;5102850;3,468631;3,46863108
5106802;5103056;18,212636;18,21263544
5106802;5103205;9,929897;9,92989708
5106802;5103304;103,947782;103,94778202
5106802;5103403;105,196195;105,19619501
5106802;5103502;1,236751;1,23675088
5106802;5103601;4,022315;4,02231453
5106802;5103957;6,179332;6,17933157
5106802;5104104;41,16117;41,16117022
5106802;5105101;329,271858;329,27185802
5106802;5105150;24,888932;24,88893185
5106802;5105259;17,161957;17,16195711
5106802;5105580;40,210759;40,21075852
5106802;5105903;23,358017;23,35801734
5106802;5106216;8,31518;8,31518023
5106802;5106224;10,204501;10,20450094
5106802;5106273;200,981943;200,98194317
5106802;5106299;26,164634;26,16463372
5106802;5106422;43,776848;43,77684771
5106802;5106752;15,309486;15,3094858
5106828;1100023;31,649392;31,64939196
5106828;1100031;20,864;20,8639998
5106828;1100049;6,405247;6,40524665
5106828;1100064;6,680606;6,68060575
5106828;1100114;6,220489;6,22048859
5106828;1100122;4,753791;4,75379095
5106828;1100155;10,237929;10,23792874
5106828;1100189;40,871642;40,87164224
5106828;1100205;4,725889;4,72588934
5106828;1100304;7,006015;7,00601514
5106828;1100924;4,36168;4,36168016
5106828;5100250;7,771187;7,7711872
5106828;5100300;5,711939;5,71193915
5106828;5100607;11,43569;11,43568948
5106828;5101258;56,932792;56,93279239
5106828;5102504;339,467833;339,46783278
5106828;5102850;15,726234;15,72623397
5106828;5103007;6,046002;6,0460016
5106828;5103403;41,578841;41,57884099
5106828;5103809;158,674606;158,67460568
5106828;5103957;188,845748;188,84574765
5106828;5104500;12,521591;12,52159136
5106828;5104807;19,082303;19,0823031
5106828;5105002;153,440314;153,44031382
5106828;5105234;37,030762;37,03076216
5106828;5105507;45,679283;45,679283
5106828;5105622;238,603447;238,60344697
5106828;5105903;12,151457;12,15145686
5106828;5106158;20,736308;20,7363076
5106828;5106182;22,366517;22,36651721
5106828;5106422;5,283657;5,2836565
5106828;5106703;2,029766;2,02976645
5106828;5106752;348,481878;348,4818784
5106851;1100320;7,237503;7,23750308
5106851;5100300;34,234474;34,23447402
5106851;5100508;57,77247;57,77246963
5106851;5101308;44,402177;44,40217709
5106851;5101704;117,930972;117,93097253
5106851;5102504;78,027192;78,02719153
5106851;5102637;8,682451;8,68245104
5106851;5103403;47,051533;47,05153346
5106851;5103452;7,057213;7,05721266
