uf_code;ano;age_group;sexo;pop;pop_percent;cases
MA;2007;55-59;Women;115000;0,01795192007492975;48
MA;2007;60-64;Men;68000;0,01061504839213238;52
MA;2007;60-64;Women;85000;0,01326881049016547;30
MA;2007;65-69;Men;67000;0,01045894473930690;41
MA;2007;65-69;Women;59000;0,00921011551670309;18
MA;2007;70+;Men;123000;0,01920074929753356;57
MA;2007;70+;Women;147000;0,02294723696534499;26
MT;2007;0-4;Men;133000;0,04554794520547945;225
MT;2007;0-4;Women;132000;0,04520547945205480;175
MT;2007;5-9;Men;125000;0,04280821917808219;259
MT;2007;5-9;Women;132000;0,04520547945205480;167
MT;2007;10-14;Men;152000;0,05205479452054795;335
MT;2007;10-14;Women;149000;0,05102739726027397;191
MT;2007;15-19;Men;145000;0,04965753424657534;478
MT;2007;15-19;Women;130000;0,04452054794520548;235
MT;2007;20-24;Men;131000;0,04486301369863014;609
MT;2007;20-24;Women;122000;0,04178082191780822;204
MT;2007;25-29;Men;132000;0,04520547945205480;592
MT;2007;25-29;Women;131000;0,04486301369863014;227
MT;2007;30-34;Men;120000;0,04109589041095890;566
MT;2007;30-34;Women;119000;0,04075342465753425;164
MT;2007;35-39;Men;107000;0,03664383561643836;489
MT;2007;35-39;Women;108000;0,03698630136986301;189
MT;2007;40-44;Men;106000;0,03630136986301370;460
MT;2007;40-44;Women;97000;0,03321917808219178;124
MT;2007;45-49;Men;94000;0,03219178082191781;305
MT;2007;45-49;Women;82000;0,02808219178082192;93
MT;2007;50-54;Men;72000;0,02465753424657534;243
MT;2007;50-54;Women;69000;0,02363013698630137;69
MT;2007;55-59;Men;60000;0,02054794520547945;134
MT;2007;55-59;Women;53000;0,01815068493150685;30
MT;2007;60-64;Men;38000;0,01301369863013699;59
MT;2007;60-64;Women;37000;0,01267123287671233;16
MT;2007;65-69;Men;31000;0,01061643835616438;35
MT;2007;65-69;Women;31000;0,01061643835616438;9
MT;2007;70+;Men;42000;0,01438356164383562;18
MT;2007;70+;Women;40000;0,01369863013698630;9
RO;2019;0-4;Men;67000;0,03793884484711212;221
RO;2019;0-4;Women;58000;0,03284258210645526;183
RO;2019;5-9;Men;74000;0,04190260475651189;367
RO;2019;5-9;Women;67000;0,03793884484711212;286
RO;2019;10-14;Men;59000;0,03340883352208381;530
RO;2019;10-14;Women;66000;0,03737259343148358;371
RO;2019;15-19;Men;68000;0,03850509626274066;855
RO;2019;15-19;Women;72000;0,04077010192525481;410
RO;2019;20-24;Men;76000;0,04303510758776897;849
RO;2019;20-24;Women;89000;0,05039637599093998;340
RO;2019;25-29;Men;74000;0,04190260475651189;841
RO;2019;25-29;Women;71000;0,04020385050962627;331
RO;2019;30-34;Men;71000;0,04020385050962627;873
RO;2019;30-34;Women;69000;0,03907134767836919;356
RO;2019;35-39;Men;71000;0,04020385050962627;817
RO;2019;35-39;Women;68000;0,03850509626274066;315
RO;2019;40-44;Men;56000;0,03171007927519819;671
RO;2019;40-44;Women;72000;0,04077010192525481;250
RO;2019;45-49;Men;52000;0,02944507361268403;586
RO;2019;45-49;Women;67000;0,03793884484711212;241
RO;2019;50-54;Men;48000;0,02718006795016988;469
RO;2019;50-54;Women;51000;0,02887882219705549;275
RO;2019;55-59;Men;49000;0,02774631936579841;325
RO;2019;55-59;Women;40000;0,02265005662514156;172
RO;2019;60-64;Men;31000;0,01755379388448471;191
RO;2019;60-64;Women;40000;0,02265005662514156;126
RO;2019;65-69;Men;28000;0,01585503963759909;121
RO;2019;65-69;Women;26000;0,01472253680634202;60
RO;2019;70+;Men;43000;0,02434881087202718;104
RO;2019;70+;Women;43000;0,02434881087202718;62
AC;2019;0-4;Men;34000;0,03939745075318656;773
AC;2019;0-4;Women;39000;0,04519119351100811;701
AC;2019;5-9;Men;41000;0,04750869061413673;925
AC;2019;5-9;Women;36000;0,04171494785631518;766
AC;2019;10-14;Men;39000;0,04519119351100811;964
AC;2019;10-14;Women;40000;0,04634994206257242;763
