"uf" "year_notif" "cruzes" "count" "perc"
"Amazonas" 2017 "menor que meia cruz" 26371 26.9405226487955
"Amazonas" 2017 "meia cruz" 16662 17.0218417342623
"Amazonas" 2017 "uma cruz" 22304 22.7856894755123
"Amazonas" 2017 "duas cruzes)" 30965 31.6337372045032
"Amazonas" 2017 "três cruzes" 1552 1.58551784729175
"Amazonas" 2017 "quatro cruzes" 32 0.0326910896348814
"Amazonas" 2018 "menor que meia cruz" 22791 26.5054776358942
"Amazonas" 2018 "meia cruz" 13266 15.4280929453632
"Amazonas" 2018 "uma cruz" 17631 20.5045007326774
"Amazonas" 2018 "duas cruzes)" 30663 35.6604563533598
"Amazonas" 2018 "três cruzes" 1586 1.84448631172516
"Amazonas" 2018 "quatro cruzes" 49 0.0569860209801596
"Amazonas" 2019 "menor que meia cruz" 26274 34.8082986672319
"Amazonas" 2019 "meia cruz" 11344 15.0287485758194
"Amazonas" 2019 "uma cruz" 15591 20.6552555576164
"Amazonas" 2019 "duas cruzes)" 20696 27.4184573805676
"Amazonas" 2019 "três cruzes" 1521 2.01504994568241
"Amazonas" 2019 "quatro cruzes" 56 0.0741898730823243
"Roraima" 2007 "menor que meia cruz" 4695 27.8850151452159
"Roraima" 2007 "meia cruz" 2684 15.9410821405238
"Roraima" 2007 "uma cruz" 3983 23.6562332957178
"Roraima" 2007 "duas cruzes)" 5056 30.0291025717171
"Roraima" 2007 "três cruzes" 397 2.35790223911623
"Roraima" 2007 "quatro cruzes" 22 0.130664607709212
"Roraima" 2008 "menor que meia cruz" 2871 26.3080729405296
"Roraima" 2008 "meia cruz" 1579 14.4689819481353
"Roraima" 2008 "uma cruz" 2646 24.2463117382938
"Roraima" 2008 "duas cruzes)" 3510 32.1634747548795
"Roraima" 2008 "três cruzes" 297 2.72152478695134
"Roraima" 2008 "quatro cruzes" 10 0.0916338312104829
"Roraima" 2009 "menor que meia cruz" 3944 25.69883364827
"Roraima" 2009 "meia cruz" 2143 13.9636411024956
"Roraima" 2009 "uma cruz" 3746 24.4086792206946
"Roraima" 2009 "duas cruzes)" 5166 33.6613018831042
"Roraima" 2009 "três cruzes" 335 2.18283703655438
"Roraima" 2009 "quatro cruzes" 13 0.0847071088812146
"Roraima" 2010 "menor que meia cruz" 5261 23.7796058578919
"Roraima" 2010 "meia cruz" 3191 14.4232507683963
"Roraima" 2010 "uma cruz" 5292 23.9197251853191
"Roraima" 2010 "duas cruzes)" 7723 34.9077924425963
"Roraima" 2010 "três cruzes" 635 2.87018622310613
"Roraima" 2010 "quatro cruzes" 22 0.0994395226902911
"Roraima" 2011 "menor que meia cruz" 3103 23.3800482218204
"Roraima" 2011 "meia cruz" 2056 15.4912597950573
"Roraima" 2011 "uma cruz" 3126 23.5533453887884
"Roraima" 2011 "duas cruzes)" 4665 35.1491862567812
"Roraima" 2011 "três cruzes" 308 2.32067510548523
"Roraima" 2011 "quatro cruzes" 14 0.105485232067511
"Roraima" 2012 "menor que meia cruz" 1362 19.3768672641912
"Roraima" 2012 "meia cruz" 949 13.5012092758572
"Roraima" 2012 "uma cruz" 1665 23.6875800256082
"Roraima" 2012 "duas cruzes)" 2815 40.0483710342865
"Roraima" 2012 "três cruzes" 235 3.34329207568644
"Roraima" 2012 "quatro cruzes" 3 0.0426803243704652
"Roraima" 2013 "menor que meia cruz" 863 14.7698100290946
"Roraima" 2013 "meia cruz" 711 12.1684066404244
"Roraima" 2013 "uma cruz" 1220 20.879685093274
"Roraima" 2013 "duas cruzes)" 2771 47.4242683552969
"Roraima" 2013 "três cruzes" 268 4.58668492212904
"Roraima" 2013 "quatro cruzes" 10 0.171144959780934
"Roraima" 2014 "menor que meia cruz" 1416 20.8664898320071
"Roraima" 2014 "meia cruz" 922 13.586796345417
"Roraima" 2014 "uma cruz" 1280 18.8623636899499
"Roraima" 2014 "duas cruzes)" 2851 42.0129678750368
"Roraima" 2014 "três cruzes" 309 4.55349248452697
"Roraima" 2014 "quatro cruzes" 8 0.117889773062187
"Roraima" 2015 "menor que meia cruz" 1782 22.6113437381043
"Roraima" 2015 "meia cruz" 1110 14.0845070422535
"Roraima" 2015 "uma cruz" 1513 19.1980713107474
"Roraima" 2015 "duas cruzes)" 3117 39.5508184240579
"Roraima" 2015 "três cruzes" 353 4.47912701433828
"Roraima" 2015 "quatro cruzes" 6 0.0761324704986677
"Roraima" 2016 "menor que meia cruz" 1736 26.0934916578987
"Roraima" 2016 "meia cruz" 895 13.4525777844581
"Roraima" 2016 "uma cruz" 1145 17.2102810762062
"Roraima" 2016 "duas cruzes)" 2579 38.7644671576732
"Roraima" 2016 "três cruzes" 292 4.38899744476176
"Roraima" 2016 "quatro cruzes" 6 0.090184879001954
"Roraima" 2017 "menor que meia cruz" 3112 21.9108639019925
"Roraima" 2017 "meia cruz" 1608 11.3215517848342
"Roraima" 2017 "uma cruz" 2655 18.69323382384
"Roraima" 2017 "duas cruzes)" 6125 43.124691966486
"Roraima" 2017 "três cruzes" 694 4.88629162852918
"Roraima" 2017 "quatro cruzes" 9 0.0633668943181018
"Roraima" 2018 "menor que meia cruz" 4656 19.9298005307765
"Roraima" 2018 "meia cruz" 2824 12.0880061638558
"Roraima" 2018 "uma cruz" 4320 18.4915675027823
"Roraima" 2018 "duas cruzes)" 10374 44.4054447393203
"Roraima" 2018 "três cruzes" 1165 4.98673058813458
"Roraima" 2018 "quatro cruzes" 23 0.0984504751305539
"Roraima" 2019 "menor que meia cruz" 4945 18.9043504855111
"Roraima" 2019 "meia cruz" 2847 10.8838596222953
"Roraima" 2019 "uma cruz" 4301 16.4423885618167
"Roraima" 2019 "duas cruzes)" 12591 48.1344139460203
"Roraima" 2019 "três cruzes" 1444 5.52029971710375
"Roraima" 2019 "quatro cruzes" 30 0.114687667252848
"Pará" 2007 "menor que meia cruz" 20553 22.1447657630479
"Pará" 2007 "meia cruz" 7203 7.76084989010042
"Pará" 2007 "uma cruz" 15992 17.2305305348446
"Pará" 2007 "duas cruzes)" 45793 49.3395250614145
"Pará" 2007 "três cruzes" 2987 3.21833383614188
"Pará" 2007 "quatro cruzes" 284 0.305994914450718
"Pará" 2008 "menor que meia cruz" 18234 21.7909341874111
"Pará" 2008 "meia cruz" 5621 6.71749704219798
"Pará" 2008 "uma cruz" 14043 16.7823894260071
"Pará" 2008 "duas cruzes)" 42392 50.6614720891045
"Pará" 2008 "três cruzes" 3291 3.93298038887627
"Pará" 2008 "quatro cruzes" 96 0.114726866402954
"Pará" 2009 "menor que meia cruz" 28706 22.6872890799738
"Pará" 2009 "meia cruz" 8117 6.41513012827099
"Pará" 2009 "uma cruz" 21631 17.0956855740581
"Pará" 2009 "duas cruzes)" 63604 50.2683179350188
"Pará" 2009 "três cruzes" 4331 3.42293071153649
"Pará" 2009 "quatro cruzes" 140 0.110646571141794
"Pará" 2010 "menor que meia cruz" 42777 23.2705018359853
"Pará" 2010 "meia cruz" 14710 8.00217598259214
"Pará" 2010 "uma cruz" 30921 16.8208894328845
"Pará" 2010 "duas cruzes)" 89272 48.5635794913641
"Pará" 2010 "três cruzes" 5963 3.24384604923161
"Pará" 2010 "quatro cruzes" 182 0.0990072079423365
"Pará" 2011 "menor que meia cruz" 32972 23.060245345568
"Pará" 2011 "meia cruz" 10901 7.62403659201857
"Pará" 2011 "uma cruz" 22234 15.5502091172315
"Pará" 2011 "duas cruzes)" 70752 49.483151725392
"Pará" 2011 "três cruzes" 5857 4.0963198164804
"Pará" 2011 "quatro cruzes" 266 0.186037403309507
"Pará" 2012 "menor que meia cruz" 20999 21.6801916207231
"Pará" 2012 "meia cruz" 6181 6.38150694831609
"Pará" 2012 "uma cruz" 13759 14.2053315162403
"Pará" 2012 "duas cruzes)" 50778 52.4251997769931
"Pará" 2012 "três cruzes" 4812 4.96809762745462
"Pará" 2012 "quatro cruzes" 329 0.33967251027277
"Pará" 2013 "menor que meia cruz" 5867 19.1070149156517
"Pará" 2013 "meia cruz" 2166 7.0539959617013
"Pará" 2013 "uma cruz" 3414 11.1183482055624
"Pará" 2013 "duas cruzes)" 17977 58.5455611281183
"Pará" 2013 "três cruzes" 1215 3.95688139125904
"Pará" 2013 "quatro cruzes" 67 0.218198397707288
"Pará" 2014 "menor que meia cruz" 2415 17.5994752951465
"Pará" 2014 "meia cruz" 856 6.23815770295875
"Pará" 2014 "uma cruz" 1605 11.6965456930477
"Pará" 2014 "duas cruzes)" 8241 60.056843025798
"Pará" 2014 "três cruzes" 586 4.27051450225915
"Pará" 2014 "quatro cruzes" 19 0.138463780789972
"Pará" 2015 "menor que meia cruz" 2316 20.2182453077259
"Pará" 2015 "meia cruz" 622 5.42994325621999
"Pará" 2015 "uma cruz" 1379 12.0384111741598
"Pará" 2015 "duas cruzes)" 6524 56.9532955041467
"Pará" 2015 "três cruzes" 596 5.20296813618507
"Pará" 2015 "quatro cruzes" 18 0.157136621562636
"Pará" 2016 "menor que meia cruz" 4006 21.2700435382818
"Pará" 2016 "meia cruz" 1294 6.87055325475204
"Pará" 2016 "uma cruz" 2885 15.3180418392269
"Pará" 2016 "duas cruzes)" 9869 52.399915047255
"Pará" 2016 "três cruzes" 743 3.94499309758947
"Pará" 2016 "quatro cruzes" 37 0.196453222894765
"Pará" 2017 "menor que meia cruz" 12562 24.4387377923038
"Pará" 2017 "meia cruz" 4530 8.81288665810669
"Pará" 2017 "uma cruz" 7780 15.1355978366601
"Pará" 2017 "duas cruzes)" 25001 48.6381852846193
"Pará" 2017 "três cruzes" 1471 2.86175635189292
"Pará" 2017 "quatro cruzes" 58 0.11283607641726
"Pará" 2018 "menor que meia cruz" 16605 25.259362925553
"Pará" 2018 "meia cruz" 5732 8.71946210715264
"Pará" 2018 "uma cruz" 10359 15.7580090662935
"Pará" 2018 "duas cruzes)" 31187 47.441358118592
"Pará" 2018 "três cruzes" 1796 2.73205756183638
"Pará" 2018 "quatro cruzes" 59 0.089750220572576
"Pará" 2019 "menor que meia cruz" 10099 24.1354587386182
"Pará" 2019 "meia cruz" 2899 6.92827952106684
"Pará" 2019 "uma cruz" 5989 14.3130272685993
"Pará" 2019 "duas cruzes)" 21375 51.0838133021055
"Pará" 2019 "três cruzes" 1443 3.44860550151758
"Pará" 2019 "quatro cruzes" 38 0.090815668092632
"Amapá" 2007 "menor que meia cruz" 4879 23.3377977614082
"Amapá" 2007 "meia cruz" 965 4.61589974170095
"Amapá" 2007 "uma cruz" 2143 10.2506457476323
"Amapá" 2007 "duas cruzes)" 11995 57.3758729551325
"Amapá" 2007 "três cruzes" 902 4.3145508466469
"Amapá" 2007 "quatro cruzes" 22 0.105232947479193
"Amapá" 2008 "menor que meia cruz" 3372 24.1668458396044
"Amapá" 2008 "meia cruz" 632 4.52949186554863
"Amapá" 2008 "uma cruz" 1574 11.2807281588189
"Amapá" 2008 "duas cruzes)" 7828 56.1026302587257
