"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110032 2008 "SaÞo Miguel do Guaporé" "Rondônia" 6 0.0821917808219178 40 0.547945205479452
110032 2009 "SaÞo Miguel do Guaporé" "Rondônia" 2 0.0266666666666667 43 0.573333333333333
110032 2010 "SaÞo Miguel do Guaporé" "Rondônia" 4 0.024390243902439 104 0.634146341463415
110032 2011 "SaÞo Miguel do Guaporé" "Rondônia" 2 0.0210526315789474 54 0.568421052631579
110033 2007 "Nova Mamoré" "Rondônia" 1842 0.223842508202698 5549 0.674322517924414
110033 2008 "Nova Mamoré" "Rondônia" 214 0.0947741364038973 1537 0.680690876882197
110033 2009 "Nova Mamoré" "Rondônia" 44 0.0512820512820513 464 0.540792540792541
110033 2010 "Nova Mamoré" "Rondônia" 83 0.0659777424483307 649 0.515898251192369
110033 2011 "Nova Mamoré" "Rondônia" 17 0.0187018701870187 494 0.543454345434543
110033 2012 "Nova Mamoré" "Rondônia" 5 0.00902527075812274 280 0.505415162454874
110033 2013 "Nova Mamoré" "Rondônia" 3 0.014218009478673 111 0.5260663507109
110033 2014 "Nova Mamoré" "Rondônia" 1 0.00480769230769231 102 0.490384615384615
110033 2015 "Nova Mamoré" "Rondônia" 1 0.00460829493087558 85 0.391705069124424
110033 2017 "Nova Mamoré" "Rondônia" 2 0.0217391304347826 54 0.58695652173913
110033 2018 "Nova Mamoré" "Rondônia" 2 0.00836820083682008 158 0.661087866108787
110034 2007 "Alvorada DOeste" "Rondônia" 51 0.149122807017544 191 0.558479532163743
110034 2008 "Alvorada DOeste" "Rondônia" 22 0.142857142857143 94 0.61038961038961
110034 2009 "Alvorada DOeste" "Rondônia" 22 0.229166666666667 52 0.541666666666667
110034 2010 "Alvorada DOeste" "Rondônia" 21 0.39622641509434 30 0.566037735849057
110034 2011 "Alvorada DOeste" "Rondônia" 3 0.0810810810810811 18 0.486486486486487
110034 2012 "Alvorada DOeste" "Rondônia" 1 0.0294117647058824 15 0.441176470588235
110034 2015 "Alvorada DOeste" "Rondônia" 7 0.233333333333333 10 0.333333333333333
110034 2016 "Alvorada DOeste" "Rondônia" 6 0.230769230769231 15 0.576923076923077
110034 2017 "Alvorada DOeste" "Rondônia" 1 0.2 3 0.6
110037 2007 "Alto Alegre dos Parecis" "Rondônia" 1 0.2 3 0.6
110037 2013 "Alto Alegre dos Parecis" "Rondônia" 1 0.166666666666667 1 0.166666666666667
110037 2018 "Alto Alegre dos Parecis" "Rondônia" 1 0.25 3 0.75
110040 2007 "Alto Paraíso" "Rondônia" 789 0.246948356807512 2810 0.879499217527387
110040 2008 "Alto Paraíso" "Rondônia" 274 0.139369277721261 1730 0.879959308240081
110040 2009 "Alto Paraíso" "Rondônia" 152 0.114803625377644 1175 0.887462235649547
110040 2010 "Alto Paraíso" "Rondônia" 148 0.113496932515337 1148 0.880368098159509
110040 2011 "Alto Paraíso" "Rondônia" 50 0.0773993808049536 555 0.859133126934985
110040 2012 "Alto Paraíso" "Rondônia" 9 0.0576923076923077 112 0.717948717948718
110040 2014 "Alto Paraíso" "Rondônia" 1 0.0285714285714286 25 0.714285714285714
110040 2016 "Alto Paraíso" "Rondônia" 1 0.00383141762452107 146 0.559386973180077
110040 2017 "Alto Paraíso" "Rondônia" 3 0.0118110236220472 150 0.590551181102362
110040 2018 "Alto Paraíso" "Rondônia" 11 0.0436507936507936 163 0.646825396825397
110040 2019 "Alto Paraíso" "Rondônia" 3 0.0215827338129496 81 0.58273381294964
110045 2007 "Buritis" "Rondônia" 496 0.153703129841958 2288 0.709017663464518
110045 2008 "Buritis" "Rondônia" 93 0.0622073578595318 999 0.668227424749164
110045 2009 "Buritis" "Rondônia" 28 0.0403458213256484 467 0.672910662824208
110045 2010 "Buritis" "Rondônia" 24 0.0375586854460094 344 0.538341158059468
110045 2011 "Buritis" "Rondônia" 16 0.0356347438752784 270 0.601336302895323
