"MUN_INFE" "year_notif" "municipio" "uf" "count_vivax" "total" "perc_vivax"
110007 2007 "Corumbiara" "Rondônia" 3 4 0.75
110007 2008 "Corumbiara" "Rondônia" 2 3 0.666666666666667
110007 2009 "Corumbiara" "Rondônia" 2 2 1
110007 2010 "Corumbiara" "Rondônia" 4 4 1
110007 2011 "Corumbiara" "Rondônia" 1 1 1
110007 2012 "Corumbiara" "Rondônia" 1 1 1
110007 2018 "Corumbiara" "Rondônia" 2 2 1
110008 2007 "Costa Marques" "Rondônia" 453 563 0.80461811722913
110008 2008 "Costa Marques" "Rondônia" 275 309 0.889967637540453
110008 2009 "Costa Marques" "Rondônia" 232 244 0.950819672131147
110008 2010 "Costa Marques" "Rondônia" 426 435 0.979310344827586
110008 2011 "Costa Marques" "Rondônia" 200 200 1
110008 2012 "Costa Marques" "Rondônia" 238 238 1
110008 2013 "Costa Marques" "Rondônia" 126 127 0.992125984251969
110008 2014 "Costa Marques" "Rondônia" 46 47 0.978723404255319
110008 2015 "Costa Marques" "Rondônia" 59 61 0.967213114754098
110008 2016 "Costa Marques" "Rondônia" 101 101 1
110008 2017 "Costa Marques" "Rondônia" 16 16 1
110008 2018 "Costa Marques" "Rondônia" 13 13 1
110008 2019 "Costa Marques" "Rondônia" 120 120 1
110009 2007 "EspigaÞo Doeste" "Rondônia" 47 58 0.810344827586207
110009 2008 "EspigaÞo Doeste" "Rondônia" 896 912 0.982456140350877
110009 2009 "EspigaÞo Doeste" "Rondônia" 1080 1155 0.935064935064935
110009 2010 "EspigaÞo Doeste" "Rondônia" 538 1068 0.50374531835206
110009 2011 "EspigaÞo Doeste" "Rondônia" 18 21 0.857142857142857
110009 2012 "EspigaÞo Doeste" "Rondônia" 15 17 0.882352941176471
110009 2013 "EspigaÞo Doeste" "Rondônia" 2 2 1
110009 2014 "EspigaÞo Doeste" "Rondônia" 1 2 0.5
110009 2015 "EspigaÞo Doeste" "Rondônia" 4 4 1
110009 2019 "EspigaÞo Doeste" "Rondônia" 341 342 0.997076023391813
110010 2007 "Guajará-Mirim" "Rondônia" 2634 3329 0.791228597176329
110010 2008 "Guajará-Mirim" "Rondônia" 1223 1303 0.938603223330775
110010 2009 "Guajará-Mirim" "Rondônia" 757 791 0.957016434892541
110010 2010 "Guajará-Mirim" "Rondônia" 1905 1935 0.984496124031008
110010 2011 "Guajará-Mirim" "Rondônia" 953 980 0.972448979591837
110010 2012 "Guajará-Mirim" "Rondônia" 707 719 0.983310152990264
110010 2013 "Guajará-Mirim" "Rondônia" 567 579 0.979274611398964
110010 2014 "Guajará-Mirim" "Rondônia" 377 386 0.976683937823834
110010 2015 "Guajará-Mirim" "Rondônia" 579 582 0.994845360824742
110010 2016 "Guajará-Mirim" "Rondônia" 357 358 0.997206703910615
110010 2017 "Guajará-Mirim" "Rondônia" 360 367 0.980926430517711
110010 2018 "Guajará-Mirim" "Rondônia" 357 360 0.991666666666667
110010 2019 "Guajará-Mirim" "Rondônia" 556 558 0.996415770609319
110011 2007 "Jaru" "Rondônia" 103 146 0.705479452054795
110011 2008 "Jaru" "Rondônia" 75 81 0.925925925925926
110011 2009 "Jaru" "Rondônia" 59 62 0.951612903225806
