origem;destino;ano;fluxos
150030;160030;2017;  94
150309;150420;2007;  94
150360;150805;2014;  94
150520;150140;2018;  94
110020;110010;2008;  93
120045;120040;2018;  93
130030;130260;2012;  93
130030;130260;2013;  93
130120;130260;2010;  93
130180;120020;2009;  93
130270;130170;2009;  93
130330;130260;2007;  93
130390;130060;2012;  93
140010;130260;2007;  93
140047;140010;2015;  93
150030;160030;2018;  93
110110;110002;2019;  92
120060;120020;2015;  92
130353;130260;2020;  92
140047;140010;2010;  92
150543;150808;2016;  92
150808;150543;2015;  92
130080;130260;2007;  91
130080;130260;2008;  91
130120;130260;2013;  91
130350;130070;2014;  91
140028;140010;2010;  91
150110;150140;2018;  91
150345;150800;2009;  91
160040;160030;2010;  91
210467;210632;2007;  91
110020;110011;2011;  90
110020;130170;2015;  90
120033;120042;2010;  90
150120;150810;2011;  90
150360;130290;2007;  90
150503;150360;2012;  90
150520;150110;2010;  90
110020;110130;2007;  89
120020;120040;2012;  89
140015;140010;2008;  89
140020;140010;2015;  89
140030;140010;2014;  89
150120;150810;2009;  89
150195;150550;2012;  89
150210;150140;2018;  89
150309;150178;2008;  89
160050;160030;2012;  89
130115;130260;2017;  88
140015;140010;2011;  88
140028;140010;2020;  88
150070;150180;2007;  88
110010;110020;2010;  87
110013;110012;2011;  87
130090;130240;2008;  87
130170;110020;2013;  87
130170;110020;2019;  87
150195;210197;2007;  87
150360;150503;2016;  87
150520;150810;2018;  87
150580;150548;2019;  87
160070;160030;2016;  87
510325;110013;2016;  87
110020;130170;2007;  86
110040;110002;2011;  86
130070;120040;2008;  86
130090;130240;2012;  86
130120;130260;2011;  86
140005;140010;2008;  86
150195;210197;2011;  86
150360;150680;2019;  86
150375;150360;2014;  86
160015;160030;2007;  86
110020;120040;2013;  85
110020;130090;2014;  85
120045;120040;2017;  85
130002;130420;2020;  85
130260;130340;2007;  85
140028;140010;2009;  85
150178;150309;2008;  85
150375;110002;2010;  85
150580;150810;2009;  85
160023;160070;2015;  85
160053;160060;2015;  85
110020;110012;2012;  84
110020;110080;2007;  84
120020;130165;2010;  84
120020;130165;2018;  84
130190;130260;2012;  84
130240;130070;2010;  84
130270;130170;2018;  84
150085;150506;2013;  84
150360;150060;2011;  84
150360;150375;2013;  84
150360;510642;2010;  84
150750;150420;2011;  84
160023;160070;2014;  84
160070;160030;2015;  84
510325;110013;2020;  84
110013;110011;2007;  83
120020;120040;2015;  83
130063;130250;2007;  83
130270;510325;2008;  83
130320;130260;2017;  83
140002;140010;2009;  83
140005;140010;2009;  83
140030;140010;2013;  83
150030;160030;2016;  83
160020;160070;2007;  83
130090;110020;2015;  82
130390;130060;2013;  82
130400;130190;2007;  82
140015;140010;2009;  82
150309;150795;2012;  82
150380;150420;2008;  82
110020;110004;2007;  81
110020;110010;2012;  81
110070;110045;2009;  81
130040;130260;2017;  81
130120;130260;2017;  81
130260;130250;2007;  81
130290;130260;2018;  81
130380;130360;2016;  81
140017;140010;2016;  81
150548;150085;2008;  81
150550;150345;2012;  81
150618;150420;2007;  81
160023;160030;2012;  81
110020;110080;2010;  80
110110;110002;2009;  80
130080;130260;2009;  80
140020;140010;2014;  80
150085;150506;2012;  80
150345;150800;2010;  80
150375;150360;2015;  80
150618;150420;2009;  80
160023;160053;2014;  80
210197;210317;2008;  80
110020;110033;2010;  79
110020;130170;2012;  79
110034;110025;2007;  79
130120;130260;2014;  79
130290;130260;2019;  79
140028;140030;2010;  79
150070;150180;2018;  79
150178;150309;2010;  79
150309;150497;2011;  79
150309;150795;2010;  79
150360;150375;2019;  79
150360;150503;2017;  79
150360;150680;2015;  79
150375;150680;2010;  79
150618;150497;2007;  79
160020;160030;2008;  79
160030;160060;2013;  79
160040;160027;2013;  79
110110;110002;2011;  78
130250;130260;2017;  78
130270;130014;2008;  78
130356;130260;2014;  78
150180;160030;2013;  78
150835;150060;2009;  78
160020;160030;2009;  78
210317;210467;2007;  78
110013;110012;2007;  77
110020;110010;2009;  77
120020;130165;2013;  77
130083;130250;2019;  77
130090;130170;2011;  77
130270;130170;2020;  77
150085;150060;2009;  77
150360;150619;2011;  77
110020;110080;2009;  76
110020;130260;2010;  76
110110;110020;2007;  76
130280;130420;2007;  76
130380;130260;2015;  76
130406;130060;2014;  76
130426;130002;2009;  76
150280;150180;2017;  76
150360;150060;2010;  76
150360;510025;2011;  76
150520;150140;2017;  76
150550;150309;2008;  76
160015;160053;2009;  76
160023;160053;2012;  76
110020;110080;2011;  75
110020;130260;2013;  75
110070;110002;2009;  75
130350;130070;2009;  75
150070;160030;2018;  75
150110;150180;2017;  75
150360;150680;2018;  75
150420;150370;2007;  75
150618;150497;2008;  75
110020;110030;2010;  74
130170;110020;2016;  74
130420;130260;2018;  74
140020;140047;2018;  74
150030;160030;2019;  74
150060;150815;2012;  74
150070;150570;2011;  74
150070;150570;2012;  74
150070;160030;2007;  74
150210;150520;2011;  74
150360;150060;2012;  74
150503;150360;2013;  74
150548;150085;2013;  74
160023;160053;2011;  74
160053;160060;2013;  74
210690;210850;2007;  74
110002;110012;2007;  73
110020;110025;2007;  73
120020;120040;2011;  73
130090;130240;2020;  73
130260;130190;2007;  73
140020;140010;2013;  73
150085;150506;2014;  73
150110;150140;2010;  73
210197;210317;2007;  73
110020;130170;2009;  72
120020;130165;2007;  72
120020;130165;2016;  72
130115;130030;2007;  72
130240;130070;2016;  72
130250;130185;2007;  72
130320;130260;2010;  72
140028;140030;2018;  72
140030;140010;2016;  72
150070;150030;2011;  72
150070;150180;2017;  72
150110;150180;2010;  72
150309;150178;2011;  72
150309;150420;2011;  72
150495;150195;2018;  72
160005;160030;2007;  72
110020;110080;2008;  71
130170;110020;2018;  71
130180;120020;2007;  71
130270;130014;2007;  71
130380;130260;2016;  71
140028;140010;2011;  71
140030;140010;2015;  71
150060;150815;2007;  71
150060;150815;2011;  71
150070;150180;2019;  71
160023;160030;2013;  71
510325;110002;2019;  71
110020;130090;2010;  70
130260;130353;2007;  70
130356;130260;2015;  70
140020;140010;2012;  70
150070;150570;2009;  70
150178;150810;2010;  70
150800;150550;2007;  70
160020;160030;2012;  70
110013;110175;2009;  69
130120;130260;2018;  69
130165;120020;2020;  69
130190;130260;2019;  69
130250;130260;2019;  69
130270;110011;2008;  69
130380;130260;2019;  69
150360;150060;2013;  69
150497;150370;2007;  69
160015;160060;2007;  69
510325;110002;2012;  69
110013;110002;2009;  68
110013;110175;2007;  68
110080;110012;2008;  68
110140;110002;2010;  68
120001;120040;2013;  68
130250;130260;2011;  68
130320;130260;2018;  68
130330;130170;2009;  68
130356;130260;2020;  68
130410;130260;2007;  68
150030;160030;2014;  68
150085;150060;2012;  68
150195;210317;2018;  68
110010;110020;2007;  67
120042;120033;2008;  67
130080;130260;2011;  67
130115;130110;2017;  67
130120;130260;2019;  67
130260;140010;2008;  67
130270;110011;2009;  67
130270;130170;2017;  67
130430;130395;2007;  67
140002;140010;2007;  67
150085;150060;2008;  67
160005;160030;2012;  67
160015;160005;2015;  67
160020;160030;2011;  67
160030;160060;2016;  67
110020;110033;2011;  66
110020;130090;2016;  66
110110;110002;2016;  66
130040;130260;2018;  66
130240;110020;2013;  66
130250;130260;2013;  66
150050;160027;2020;  66
150070;150030;2015;  66
150195;150550;2007;  66
150370;150420;2009;  66
150548;150506;2018;  66
110013;110175;2010;  65
110020;110012;2009;  65
110020;110045;2012;  65
110094;110002;2012;  65
120033;120040;2017;  65
120042;120020;2020;  65
130014;110002;2007;  65
130180;120020;2012;  65
130180;130165;2012;  65
130250;130260;2012;  65
150360;510340;2012;  65
160005;160030;2016;  65
160020;160030;2010;  65
110002;110011;2010;  64
110002;110020;2007;  64
110009;510515;2010;  64
110070;110002;2007;  64
110094;110002;2013;  64
130030;130260;2019;  64
130090;130240;2010;  64
130190;130260;2013;  64
130255;130260;2008;  64
130260;130353;2008;  64
130426;130420;2013;  64
150070;150140;2007;  64
150070;150770;2010;  64
150280;150180;2012;  64
150345;150800;2008;  64
150360;130260;2013;  64
160005;160030;2009;  64
160040;160060;2010;  64
510140;510675;2019;  64
110002;110020;2008;  63
110013;110002;2011;  63
110013;110012;2010;  63
110020;110080;2012;  63
110020;130260;2009;  63
120020;130165;2008;  63
120042;120033;2009;  63
120042;120033;2019;  63
