src;ano;casos;group
110029;2013;2;Total
110029;2014;1;Total
110029;2017;2;Total
110030;2007;67;Total
110030;2008;19;Total
110030;2009;51;Total
110030;2010;48;Total
110030;2011;5;Total
110030;2012;14;Total
110030;2013;12;Total
110030;2014;3;Total
110030;2015;6;Total
110030;2017;3;Total
110030;2018;13;Total
110030;2019;7;Total
110030;2020;8;Total
110032;2007;125;Total
110032;2008;73;Total
110032;2009;75;Total
110032;2010;164;Total
110032;2011;95;Total
110032;2012;22;Total
110032;2013;9;Total
110032;2014;5;Total
110032;2015;5;Total
110032;2016;2;Total
110032;2017;2;Total
110032;2018;3;Total
110032;2019;1;Total
110033;2007;8230;Total
110033;2008;2258;Total
110033;2009;859;Total
110033;2010;1255;Total
110033;2011;909;Total
110033;2012;554;Total
110033;2013;211;Total
110033;2014;208;Total
110033;2015;217;Total
110033;2016;170;Total
110033;2017;92;Total
110033;2018;239;Total
110033;2019;108;Total
110033;2020;38;Total
110034;2007;342;Total
110034;2008;154;Total
110034;2009;96;Total
110034;2010;53;Total
110034;2011;37;Total
110034;2012;34;Total
110034;2013;19;Total
110034;2014;50;Total
110034;2015;30;Total
110034;2016;26;Total
110034;2017;5;Total
110034;2018;8;Total
110037;2007;5;Total
110037;2008;3;Total
110037;2010;10;Total
110037;2011;3;Total
110037;2012;7;Total
110037;2013;6;Total
110037;2016;1;Total
110037;2018;4;Total
110037;2020;1;Total
110040;2007;3195;Total
110040;2008;1967;Total
110040;2009;1324;Total
110040;2010;1304;Total
110040;2011;646;Total
110040;2012;156;Total
110040;2013;53;Total
110040;2014;35;Total
110040;2015;451;Total
110040;2016;261;Total
110040;2017;254;Total
110040;2018;253;Total
110040;2019;139;Total
110040;2020;12;Total
110045;2007;3227;Total
110045;2008;1495;Total
110045;2009;694;Total
110045;2010;639;Total
110045;2011;449;Total
110045;2012;210;Total
110045;2013;217;Total
110045;2014;69;Total
110045;2015;152;Total
110045;2016;101;Total
110045;2017;20;Total
110045;2018;7;Total
110045;2019;2;Total
110045;2020;6;Total
110050;2007;11;Total
110050;2008;3;Total
110050;2009;3;Total
110050;2010;1;Total
110050;2011;1;Total
110050;2012;2;Total
110050;2016;2;Total
110050;2017;2;Total
110050;2018;2;Total
110060;2007;124;Total
110060;2008;89;Total
110060;2009;105;Total
110060;2010;32;Total
110060;2011;31;Total
110060;2012;12;Total
110060;2013;5;Total
110060;2014;8;Total
110060;2015;1;Total
110060;2016;17;Total
110060;2017;1;Total
110060;2018;2;Total
110060;2019;5;Total
110060;2020;1;Total
110070;2007;4018;Total
110070;2008;2235;Total
110070;2009;1076;Total
110070;2010;545;Total
110070;2011;476;Total
110070;2012;389;Total
110070;2013;133;Total
110070;2014;50;Total
110070;2015;16;Total
110070;2016;8;Total
110070;2017;13;Total
110070;2018;13;Total
110070;2019;15;Total
110070;2020;5;Total
110080;2007;9571;Total
110080;2008;5529;Total
110080;2009;4530;Total
110080;2010;4946;Total
110080;2011;5531;Total
110080;2012;3662;Total
110080;2013;2126;Total
110080;2014;1782;Total
110080;2015;1394;Total
110080;2016;1255;Total
110080;2017;1971;Total
110080;2018;2108;Total
110080;2019;2258;Total
110080;2020;1175;Total
110090;2007;70;Total
110090;2008;28;Total
110090;2009;9;Total
110090;2010;24;Total
110090;2011;4;Total
110090;2012;2;Total
110090;2013;2;Total
110090;2020;1;Total
110092;2007;66;Total
110092;2008;21;Total
110092;2009;15;Total
110092;2010;8;Total
110092;2011;6;Total
110092;2012;1;Total
110092;2013;4;Total
110092;2014;5;Total
110092;2015;1;Total
110092;2017;1;Total
110092;2018;3;Total
110094;2007;3971;Total
110094;2008;2403;Total
110094;2009;2808;Total
110094;2010;2200;Total
110094;2011;1716;Total
110094;2012;665;Total
110094;2013;645;Total
110094;2014;386;Total
110094;2015;167;Total
110094;2016;407;Total
110094;2017;429;Total
110094;2018;395;Total
110094;2019;273;Total
110094;2020;102;Total
110100;2007;102;Total
110100;2008;313;Total
110100;2009;209;Total
110100;2010;19;Total
110100;2011;4;Total
110100;2012;9;Total
110100;2013;15;Total
110100;2014;3;Total
110100;2015;1;Total
110100;2016;2;Total
110100;2017;1;Total
