mun;ano;mes;group;n;p
110002;2010;jun;NA;1;0,003086419753086420
110002;2010;jul;Autóctone;126;0,414473684210526327
110002;2010;jul;Importado;178;0,585526315789473673
110002;2010;ago;Autóctone;113;0,424812030075187974
110002;2010;ago;Importado;153;0,575187969924812026
110002;2010;set;Autóctone;89;0,375527426160337574
110002;2010;set;Importado;148;0,624472573839662481
110002;2010;out;Autóctone;80;0,336134453781512632
110002;2010;out;Importado;157;0,659663865546218475
110002;2010;out;NA;1;0,004201680672268907
110002;2010;nov;Autóctone;166;0,520376175548589393
110002;2010;nov;Importado;153;0,479623824451410663
110002;2010;dez;Autóctone;135;0,462328767123287687
110002;2010;dez;Importado;157;0,537671232876712368
110002;2011;jan;Autóctone;60;0,337078651685393249
110002;2011;jan;Importado;118;0,662921348314606695
110002;2011;fev;Autóctone;65;0,436241610738255015
110002;2011;fev;Importado;84;0,563758389261744930
110002;2011;mar;Autóctone;41;0,320312500000000000
110002;2011;mar;Importado;87;0,679687500000000000
110002;2011;abr;Autóctone;25;0,240384615384615391
110002;2011;abr;Importado;79;0,759615384615384581
110002;2011;mai;Autóctone;31;0,274336283185840690
110002;2011;mai;Importado;82;0,725663716814159310
110002;2011;jun;Autóctone;61;0,342696629213483150
110002;2011;jun;Importado;117;0,657303370786516905
110002;2011;jul;Autóctone;49;0,300613496932515323
110002;2011;jul;Importado;114;0,699386503067484622
110002;2011;ago;Autóctone;47;0,243523316062176171
110002;2011;ago;Importado;146;0,756476683937823857
110002;2011;set;Autóctone;28;0,195804195804195807
110002;2011;set;Importado;115;0,804195804195804165
110002;2011;out;Autóctone;34;0,180851063829787245
110002;2011;out;Importado;154;0,819148936170212782
110002;2011;nov;Autóctone;34;0,246376811594202910
110002;2011;nov;Importado;104;0,753623188405797118
110002;2011;dez;Autóctone;21;0,194444444444444448
110002;2011;dez;Importado;87;0,805555555555555580
110002;2012;jan;Autóctone;9;0,118421052631578941
110002;2012;jan;Importado;67;0,881578947368421018
110002;2012;fev;Autóctone;18;0,276923076923076938
110002;2012;fev;Importado;45;0,692307692307692291
110002;2012;fev;NA;2;0,030769230769230771
110002;2012;mar;Autóctone;17;0,239436619718309845
110002;2012;mar;Importado;54;0,760563380281690127
110002;2012;abr;Autóctone;11;0,207547169811320764
110002;2012;abr;Importado;42;0,792452830188679291
110002;2012;mai;Autóctone;15;0,272727272727272707
110002;2012;mai;Importado;40;0,727272727272727293
110002;2012;jun;Autóctone;11;0,120879120879120880
110002;2012;jun;Importado;80;0,879120879120879106
110002;2012;jul;Autóctone;15;0,192307692307692318
110002;2012;jul;Importado;63;0,807692307692307709
110002;2012;ago;Autóctone;16;0,216216216216216228
110002;2012;ago;Importado;57;0,770270270270270285
110002;2012;ago;NA;1;0,013513513513513514
110002;2012;set;Autóctone;9;0,107142857142857137
110002;2012;set;Importado;75;0,892857142857142905
110002;2012;out;Autóctone;6;0,090909090909090912
110002;2012;out;Importado;60;0,909090909090909061
110002;2012;nov;Autóctone;13;0,209677419354838718
110002;2012;nov;Importado;49;0,790322580645161255
110002;2012;dez;Autóctone;9;0,157894736842105254
110002;2012;dez;Importado;48;0,842105263157894690
110002;2013;jan;Autóctone;11;0,203703703703703692
110002;2013;jan;Importado;43;0,796296296296296280
110002;2013;fev;Autóctone;10;0,232558139534883718
110002;2013;fev;Importado;31;0,720930232558139483
110002;2013;fev;NA;2;0,046511627906976744
110002;2013;mar;Autóctone;6;0,153846153846153855
110002;2013;mar;Importado;32;0,820512820512820484
110002;2013;mar;NA;1;0,025641025641025640
110002;2013;abr;Autóctone;7;0,162790697674418616
110002;2013;abr;Importado;34;0,790697674418604612
110002;2013;abr;NA;2;0,046511627906976744
110002;2013;mai;Autóctone;13;0,254901960784313708
110002;2013;mai;Importado;32;0,627450980392156854
110002;2013;mai;NA;6;0,117647058823529410
110002;2013;jun;Autóctone;5;0,125000000000000000
110002;2013;jun;Importado;35;0,875000000000000000
110002;2013;jul;Autóctone;11;0,154929577464788720
110002;2013;jul;Importado;57;0,802816901408450745
110002;2013;jul;NA;3;0,042253521126760563
110002;2013;ago;Autóctone;16;0,307692307692307709
110002;2013;ago;Importado;35;0,673076923076923128
110002;2013;ago;NA;1;0,019230769230769232
110002;2013;set;Autóctone;8;0,129032258064516125
110002;2013;set;Importado;52;0,838709677419354871
110002;2013;set;NA;2;0,032258064516129031
110002;2013;out;Autóctone;11;0,189655172413793094
110002;2013;out;Importado;46;0,793103448275862100
110002;2013;out;NA;1;0,017241379310344827
110002;2013;nov;Autóctone;10;0,212765957446808512
110002;2013;nov;Importado;37;0,787234042553191515
110002;2013;dez;Autóctone;4;0,108108108108108114
