"uf","year_notif","escolaridade","count","perc"
"Pará",2017,"Ensino médio incompleto",2314,4.50177035913
"Pará",2017,"Ensino médio completo",1667,3.24306447219953
"Pará",2017,"Educação superior incompleto",250,0.486362398350259
"Pará",2017,"Educação superior completa",337,0.655616512976149
"Pará",2017,"Não se aplica",7413,14.4216178358819
"Pará",2018,"Analfabeto",3632,5.52496273084061
"Pará",2018,"1ª a 4ª série incompleta do EF",23361,35.5365237762025
"Pará",2018,"4ª série completa do EF",6930,10.5418479418297
"Pará",2018,"5ª a 8ª série incompleta do EF",13017,19.801332562597
"Pará",2018,"Ensino fundamental completo",2981,4.53466792418388
"Pará",2018,"Ensino médio incompleto",3939,5.99196811585384
"Pará",2018,"Ensino médio completo",3067,4.66549027959475
"Pará",2018,"Educação superior incompleto",486,0.739298427089355
"Pará",2018,"Educação superior completa",604,0.918798868234507
"Pará",2018,"Não se aplica",7721,11.7451093735739
"Pará",2019,"Analfabeto",2461,5.88150945199914
"Pará",2019,"1ª a 4ª série incompleta do EF",12829,30.659847525273
"Pará",2019,"4ª série completa do EF",4646,11.1034103673255
"Pará",2019,"5ª a 8ª série incompleta do EF",8274,19.7739167841694
